name,ml_team,score_now,score_rebuild,predicted_remaining,remain_war
Ryan Jensen,CHC,-0.5215763736821976,-0.5215763736821976,0,2.3
Ryan Rolison,COL,0.9049868205611609,0.9049868205611609,0,3.7
Ryan Weathers,SD,-0.5215763736821976,-0.5215763736821976,0,2.3
Sean Hjelle,SF,-0.5215763736821976,-0.5215763736821976,0,2.3
Seth Corry,SF,-0.5215763736821976,-0.5215763736821976,0,2.3
Shane Baz,TB,0.9049868205611609,0.9049868205611609,0,3.7
Shane McClanahan,TB,-0.5215763736821976,-0.5215763736821976,0,2.3
Simeon Woods Richardson,TOR,-0.5215763736821976,-0.5215763736821976,0,2.3
Sixto Sanchez,MIA,0.9049868205611609,0.9049868205611609,0,3.7
Spencer Howard,PHI,0.9049868205611609,0.9049868205611609,0,3.7
Tanner Houck,BOS,-0.5215763736821976,-0.5215763736821976,0,2.3
Tarik Skubal,DET,0.9049868205611609,0.9049868205611609,0,3.7
Taylor Widener,ARI,-0.5215763736821976,-0.5215763736821976,0,2.3
Thad Ward,BOS,-0.5215763736821976,-0.5215763736821976,0,2.3
Tim Cate,WAS,-0.5215763736821976,-0.5215763736821976,0,2.3
Tony Gonsolin,LA,-0.5215763736821976,-0.5215763736821976,0,2.3
Tony Santillan,CIN,-0.5215763736821976,-0.5215763736821976,0,2.3
Trevor Rogers,MIA,-0.5215763736821976,-0.5215763736821976,0,2.3
Triston McKenzie,CLE,0.9049868205611609,0.9049868205611609,0,3.7
Tyler Phillips,TEX,-0.5215763736821976,-0.5215763736821976,0,2.3
Wil Crowe,WAS,-0.5215763736821976,-0.5215763736821976,0,2.3
Yoendrys Gomez,NYY,-0.5215763736821976,-0.5215763736821976,0,2.3
Zac Lowther,BAL,-0.5215763736821976,-0.5215763736821976,0,2.3
Zack Brown,MIL,-0.5215763736821976,-0.5215763736821976,0,2.3
Zack Thompson,STL,-0.5215763736821976,-0.5215763736821976,0,2.3
