id,age,years_remain,remain_war,name
14225,28,1,3.7176714259641077,Yasiel Puig
14274,28,4,13.413048268491787,Mitch Haniger
14320,27,4,8.429863979779,Wilmer Difo
14329,24,6,8.259669570885139,Anthony Alford
1433,31,3,5.252946288932868,Wilson Ramos
14330,25,5,4.944544469576239,Nick Williams
14335,25,6,7.198096580679242,Dilson Herrera
14344,25,5,16.092005482690954,Matt Olson
14350,25,5,4.883481931599294,Raimel Tapia
14352,25,5,10.451217315006243,Lewis Brinson
14387,24,6,5.107076007769341,Harold Ramirez
14388,24,6,10.101069813872051,Ronald Guzman
14453,26,6,10.877580764341868,Scott Heineman
14477,26,6,5.143278480084957,Jake Cave
14503,25,6,13.578755563314969,Renato Nunez
14523,25,5,11.701715012368508,Pedro Severino
14551,24,5,15.100995731560397,Anthony Santander
14553,24,3,9.159802094463013,Nomar Mazara
14566,23,6,10.931983647003987,Franmil Reyes
14567,24,6,13.33730367713373,Franchy Cordero
14593,26,6,16.454707766007704,David Bote
14678,25,6,15.237942008020694,Tzu-Wei Lin
14691,25,6,6.3478417051700005,Harold Castro
14712,24,4,10.589936323440735,Manuel Margot
14713,24,6,8.142282094923322,Dawel Lugo
14735,25,6,10.453078641236884,Brett Phillips
14738,26,6,10.882641376681024,Phillip Ervin
14773,23,6,6.619722374046601,Yu Chang
14773,23,6,6.619722374046601,Yu-Cheng Chang
14811,28,6,8.435236021936525,Luke Voit
14813,28,6,9.07770443219152,Kyle Farmer
14818,27,5,2.75862168033876,JaCoby Jones
14854,28,6,4.084015378568554,Mike Yastrzemski
14885,26,5,7.879055110927314,Pat Valaika
14894,27,5,11.575787021273204,Tony Kemp
14897,27,6,6.737314433558718,Daniel Palka
14942,27,5,2.8580792081789537,Andrew Knapp
14950,25,5,6.499378361566538,Johan Camargo
14968,25,5,5.883563063505047,Victor Caratini
15082,27,5,-0.0812095885570898,Adam Engel
15104,27,6,7.546202853694785,Jonathan Davis
15112,24,5,13.26119507963131,Ryan McMahon
15115,25,6,4.027663701952648,Dylan Cozens
15117,27,5,7.537482547776612,Hunter Dozier
15124,26,6,8.213880888389216,Tim Locastro
15149,27,4,9.400231684653974,Trey Mancini
15156,27,6,5.261451556032507,Ian Miller
15161,28,5,1.0123751539873194,Mitch Garver
15170,24,6,9.597723555484718,Josh VanMeter
15172,26,4,7.751953592410187,Tim Anderson
15181,27,6,14.521378486553385,Ryan Cordell
15191,27,4,3.3899583505122015,Chad Pinder
15194,23,6,15.501408178103363,Jake Bauers
15207,27,6,6.327423460411695,Stuart Turner
15214,27,6,6.959325721063252,Brandon Dixon
15223,27,4,6.829189441914544,Adam Frazier
15271,28,6,17.670392712957128,Austin Wynns
15274,28,6,9.32330964748587,Mike Tauchman
15351,27,6,4.194530741970355,Frank Schwindel
15362,27,6,8.597387035008305,Jeff McNeil
15402,28,6,4.090315339444556,Jack Mayfield
15407,29,6,7.807920149221268,Nate Orf
15429,27,3,12.90857474739902,Kris Bryant
15447,27,4,3.069255653065997,Ryon Healy
15464,27,5,6.389095903180832,Hunter Renfroe
15482,25,6,9.482376068673572,Aristides Aquino
15487,24,5,6.598706648351309,Victor Reyes
15491,24,5,9.595066002319005,J.P. Crawford
15518,23,5,11.648856520446005,Amed Rosario
15519,23,6,3.6757184416878195,Franklin Barreto
15564,28,5,7.3925004991685705,Tyler White
15585,26,6,8.248706186613566,Mike Ford
15608,27,6,4.467262701468585,Willians Astudillo
15640,27,4,21.343968947248026,Aaron Judge
15653,24,6,4.517912066757988,Dominic Smith
15654,24,6,7.4867855747635215,Billy McKinney
15672,24,6,18.907986134982725,Austin Meadows
15674,24,6,6.956627618705874,Reese McGuire
